id,LINDC+,LDCH,LD2S1,LD3S1,LNM,LINN,overshoot,damping
0,3.341199401319027e-09,2.993672937778756e-08,1.09126189747639e-08,3.241194634450599e-08,5.5146328267455095e-08,8.136744990199804e-09,1421.9982,0.21200543642044067
1,2.41773400792107e-08,2.993672937778756e-08,1.09126189747639e-08,3.241194634450599e-08,5.5146328267455095e-08,8.136744990199804e-09,1668.0142,0.23574091494083405
2,3.341199401319027e-09,7.65809063864872e-09,1.09126189747639e-08,3.241194634450599e-08,5.5146328267455095e-08,8.136744990199804e-09,1225.9357,0.15188956260681152
3,3.341199401319027e-09,2.993672937778756e-08,2.7837770639415832e-08,3.241194634450599e-08,5.5146328267455095e-08,8.136744990199804e-09,1593.2681,0.026662128046154976
4,3.341199401319027e-09,2.993672937778756e-08,1.09126189747639e-08,4.80189196062088e-08,5.5146328267455095e-08,8.136744990199804e-09,1695.0869,0.0271807461977005
5,3.341199401319027e-09,2.993672937778756e-08,1.09126189747639e-08,3.241194634450599e-08,5.063939517490566e-08,8.136744990199804e-09,1556.9219,0.029544398188591003
6,3.341199401319027e-09,2.993672937778756e-08,1.09126189747639e-08,3.241194634450599e-08,5.5146328267455095e-08,4.600842451104894e-08,1735.2227,0.24452340602874756
7,2.41773400792107e-08,7.65809063864872e-09,2.7837770639415832e-08,4.80189196062088e-08,5.063939517490566e-08,4.600842451104894e-08,1635.0833,0.22259621322155
8,3.472113106343895e-08,5.824911120543257e-08,3.201479386994615e-08,2.3132683179769665e-08,4.502795610316098e-09,5.091813345961272e-08,1640.3943,0.2174224704504013
9,4.237150671871379e-08,5.824911120543257e-08,3.201479386994615e-08,2.3132683179769665e-08,4.502795610316098e-09,5.091813345961272e-08,1699.7124,0.25002869963645935
10,3.472113106343895e-08,7.017382851783186e-08,3.201479386994615e-08,2.3132683179769665e-08,4.502795610316098e-09,5.091813345961272e-08,1741.8916,0.26612985134124756
11,3.472113106343895e-08,5.824911120543257e-08,3.5654581588823344e-08,2.3132683179769665e-08,4.502795610316098e-09,5.091813345961272e-08,1781.8552,0.263977587223053
12,3.472113106343895e-08,5.824911120543257e-08,3.201479386994615e-08,2.675964943725616e-08,4.502795610316098e-09,5.091813345961272e-08,1696.0962,0.252661794424057
13,3.472113106343895e-08,5.824911120543257e-08,3.201479386994615e-08,2.3132683179769665e-08,2.441329971276224e-08,5.091813345961272e-08,1708.2375,0.248935267329216
